Det Num, Param b1,         Param b2,        Param k
48,      0.370857+/-0.000441878,      0.466345+/-0.0158816,      0.262133+/-0.000441878
49,      0.352838+/-0.000423757,      0.529793+/-0.0159156,      0.264447+/-0.000423757
50,      0.359311+/-0.000422676,      0.33636+/-0.0158961,      0.266082+/-0.000422676
51,      0.181403+/-0.000244139,      1.04975+/-0.015847,      0.291115+/-0.000244139
52,      0.442387+/-0.000521808,      0.573926+/-0.0159279,      0.255243+/-0.000521808
53,      0.291643+/-0.000367897,      0.804195+/-0.0159097,      0.270125+/-0.000367897
54,      0.152473+/-0.000222122,      1.53887+/-0.0158778,      0.29711+/-0.000222122
55,      0.147343+/-0.000202388,      0.915035+/-0.015848,      0.301052+/-0.000202388
56,      0.11281+/-0.000164383,      1.1759+/-0.0158115,      0.311948+/-0.000164383
57,      0.143794+/-0.000201411,      1.08516+/-0.0157687,      0.299632+/-0.000201411
58,      0.261337+/-0.000334596,      0.958346+/-0.0159237,      0.279741+/-0.000334596
59,      0.161132+/-0.00022673,      1.19586+/-0.0159166,      0.294124+/-0.00022673
60,      0.160428+/-0.000230174,      1.39491+/-0.0159641,      0.292728+/-0.000230174
61,      0.197076+/-0.000262633,      0.935484+/-0.0158198,      0.288097+/-0.000262633
62, (baseline)-----------------------------------------------------
63,      0.180756+/-0.000243933,      0.944289+/-0.0158326,      0.292848+/-0.000243933
64,      0.333258+/-0.000424426,      0.967808+/-0.0159374,      0.264033+/-0.000424426
65,      0.373061+/-0.000456057,      0.817092+/-0.0158585,      0.259076+/-0.000456057
66,      0.409099+/-0.00047525,      0.354402+/-0.0159262,      0.25728+/-0.00047525
67,      0.367045+/-0.000442348,      0.652124+/-0.0159253,      0.259677+/-0.000442348
68,      0.145485+/-0.000210689,      1.39342+/-0.0158653,      0.300377+/-0.000210689
69,      0.288795+/-0.000357849,      0.659471+/-0.015869,      0.272524+/-0.000357849
70,      0.190896+/-0.00027298,      1.55274+/-0.0159136,      0.285162+/-0.00027298
71,      0.209678+/-0.000275123,      0.84561+/-0.0158746,      0.287055+/-0.000275123
