Det Num, Param b1,         Param b2,        Param k
24,      0.377048+/-0.000566223,      0.255476+/-0.0160032,      0.261397+/-0.000566223
25,      0.191379+/-0.000375888,      1.26609+/-0.0159894,      0.286016+/-0.000375888
26,      0.367341+/-0.000592137,      0.650221+/-0.0159867,      0.260322+/-0.000592137
27,      0.301728+/-0.000474496,      0.527435+/-0.0159324,      0.274169+/-0.000474496
28,      0.353664+/-0.000560989,      0.668544+/-0.0159728,      0.262045+/-0.000560989
29,      0.539073+/-0.000763481,      0.0888276+/-0.0160025,      0.244901+/-0.000763481
30,      0.292799+/-0.000590638,      0.854855+/-0.0160348,      0.268273+/-0.000590638
31,      0.258728+/-0.000453306,      1.00683+/-0.016161,      0.275463+/-0.000453306
32,      0.363004+/-0.000547059,      0.368647+/-0.0159796,      0.263454+/-0.000547059
33,      0.257901+/-0.000418368,      0.73856+/-0.0159151,      0.275345+/-0.000418368
34,      0.324868+/-0.00050969,      0.534155+/-0.0159794,      0.268957+/-0.00050969
35,      0.442479+/-0.000874811,      0.756487+/-0.0163346,      0.251759+/-0.000874811
36,      0.523615+/-0.000757143,      0.28242+/-0.0160057,      0.244404+/-0.000757143
37,      0.442738+/-0.000692681,      0.532417+/-0.0160341,      0.250976+/-0.000692681
38, (baseline)-----------------------------------------------------
39,      0.366874+/-0.000599935,      0.71161+/-0.0160221,      0.258307+/-0.000599935
40,      0.100214+/-0.000189609,      1.00514+/-0.0158952,      0.319577+/-0.000189609
41,      0.405594+/-0.000642677,      0.724338+/-0.0159887,      0.255257+/-0.000642677
42,      0.736064+/-0.00100984,      0.0750116+/-0.0161177,      0.232803+/-0.00100984
43,      0.46146+/-0.0006811,      0.377677+/-0.0160278,      0.252979+/-0.0006811
44,      0.309562+/-0.000508419,      0.811057+/-0.0159607,      0.265982+/-0.000508419
45,      0.477361+/-0.000742695,      0.775542+/-0.0160629,      0.248809+/-0.000742695
46,      0.493028+/-0.000785569,      0.638752+/-0.0160775,      0.246316+/-0.000785569
47,      0.437174+/-0.000655935,      0.484204+/-0.0159875,      0.252132+/-0.000655935
