Det Num, Param b1,         Param b2,        Param k
2,      0.925107+/-0.000715881,      -0.68133+/-0.0159863,      0.229946+/-0.000715881
3,      0.338117+/-0.000302372,      0.0706091+/-0.0157888,      0.274281+/-0.000302372
4,      0.793324+/-0.000635693,      -0.233068+/-0.0158097,      0.233176+/-0.000635693
5,      0.195553+/-0.000194704,      0.791347+/-0.0158945,      0.293631+/-0.000194704
6,      0.264846+/-0.000237799,      -0.290797+/-0.0156919,      0.284968+/-0.000237799
7,      0.368452+/-0.000320818,      -0.247405+/-0.0157971,      0.267571+/-0.000320818
8,      0.87206+/-0.000682402,      -0.500534+/-0.0159501,      0.227787+/-0.000682402
9,      0.230791+/-0.000221979,      0.56811+/-0.0157382,      0.284336+/-0.000221979
10,      0.115689+/-0.000117638,      0.363075+/-0.0157007,      0.317007+/-0.000117638
11,      0.414288+/-0.000363079,      0.0994584+/-0.015952,      0.263557+/-0.000363079
12,      0.344685+/-0.000309025,      0.0891615+/-0.015765,      0.271696+/-0.000309025
13,      0.546239+/-0.000473241,      0.422135+/-0.0159331,      0.249083+/-0.000473241
14, (baseline)-----------------------------------------------------
15,      0.323832+/-0.000286035,      -0.248846+/-0.0157504,      0.278255+/-0.000286035
16,      0.569898+/-0.000464774,      -0.590461+/-0.0158732,      0.248768+/-0.000464774
17,      0.279169+/-0.000251099,      -0.205767+/-0.0157957,      0.283714+/-0.000251099
18,      0.497579+/-0.000413627,      -0.477978+/-0.0158673,      0.256659+/-0.000413627
19,      0.787719+/-0.000618834,      -0.708476+/-0.0159805,      0.237055+/-0.000618834
20,      0.293185+/-0.0002681,      0.222914+/-0.0158184,      0.278399+/-0.0002681
21,      0.267157+/-0.00025075,      0.458379+/-0.0158323,      0.282003+/-0.00025075
22,      0.508475+/-0.000428799,      -0.169234+/-0.0158916,      0.255645+/-0.000428799
23,      0.315487+/-0.000287356,      0.236942+/-0.0158386,      0.273714+/-0.000287356
