Det Num, Param b1,         Param b2,        Param k
48,      0.390971+/-0.000475464,      0.446441+/-0.0159394,      0.259572+/-0.000475464
49,      0.503849+/-0.000572615,      0.0606607+/-0.0159445,      0.250246+/-0.000572615
50,      0.369317+/-0.000444139,      0.294375+/-0.0158434,      0.265348+/-0.000444139
51,      0.24404+/-0.000324201,      0.799276+/-0.0158619,      0.278951+/-0.000324201
52,      0.465902+/-0.000566487,      0.556268+/-0.0159778,      0.253323+/-0.000566487
53,      0.263705+/-0.000345386,      0.82676+/-0.0158453,      0.274415+/-0.000345386
54,      0.432703+/-0.000521695,      0.465447+/-0.0159553,      0.25505+/-0.000521695
55,      0.275572+/-0.000351409,      0.590606+/-0.0158902,      0.276427+/-0.000351409
56,      0.197879+/-0.000263381,      0.645223+/-0.0158612,      0.289303+/-0.000263381
57,      0.26486+/-0.000353475,      0.893838+/-0.015981,      0.275732+/-0.000353475
58,      0.282372+/-0.000369459,      0.807031+/-0.0159169,      0.276848+/-0.000369459
59,      0.220289+/-0.000301928,      0.935019+/-0.0159216,      0.28199+/-0.000301928
60,      0.361219+/-0.000452862,      0.663336+/-0.0159302,      0.260895+/-0.000452862
61,      0.189903+/-0.000272285,      1.15254+/-0.0159048,      0.289855+/-0.000272285
62, (baseline)-----------------------------------------------------
63,      0.203275+/-0.000274068,      0.739875+/-0.0158274,      0.288052+/-0.000274068
64,      0.619069+/-0.000709604,      0.250184+/-0.015995,      0.240014+/-0.000709604
65,      0.313748+/-0.000424535,      1.15502+/-0.0159138,      0.265751+/-0.000424535
66,      0.491638+/-0.000577666,      0.345561+/-0.0159749,      0.250401+/-0.000577666
67,      0.287709+/-0.000389359,      1.12612+/-0.0160022,      0.269382+/-0.000389359
68,      0.220258+/-0.000296857,      0.840926+/-0.0158641,      0.284328+/-0.000296857
69,      0.232187+/-0.000311268,      0.75969+/-0.0158933,      0.281159+/-0.000311268
70,      0.383622+/-0.000494319,      0.932947+/-0.0159709,      0.258118+/-0.000494319
71,      0.245738+/-0.00032305,      0.691522+/-0.0158944,      0.280994+/-0.00032305
